caseopendate,count
2018-05-17,1
2018-05-11,1
2018-04-30,1
2018-04-23,1
2018-04-20,1
2018-04-18,1
2018-04-06,1
2018-04-02,1
2018-03-22,1
2018-03-16,1
2018-03-05,4
2018-02-26,1
2018-02-15,1
2018-02-06,1
2018-02-05,1
2018-02-02,1
2018-01-30,1
2018-01-22,2
2017-12-18,1
2017-12-01,4
2017-11-28,5
2017-11-14,1
2017-11-06,1
2017-11-02,1
2017-10-30,2
2017-10-16,2
2017-09-08,1
2017-08-31,1
2017-08-18,1
2017-08-15,2
2017-08-10,1
2017-06-30,1
2017-06-20,1
2017-06-05,1
2017-05-25,1
2017-05-22,1
2017-05-04,2
2017-04-20,4
2017-04-10,1
2017-04-06,1
2017-03-30,1
2017-03-28,1
2017-03-22,1
2017-03-20,4
2017-02-27,1
2017-02-24,1
2017-02-03,1
2017-01-23,4
2017-01-13,1
2016-12-15,1
2016-10-11,1
2016-10-06,1
2016-09-06,1
2016-06-14,1
2016-04-29,1
2016-04-21,1
2016-04-08,1
2016-04-06,1
2016-03-08,4
2016-02-18,1
2016-02-08,1
2016-01-05,1
2015-12-03,3
2015-10-22,1
2015-09-24,1
2015-09-21,1
2015-08-06,1
2015-07-21,1
2015-04-30,1
2015-04-20,1
2015-04-13,1
2015-04-09,1
2015-03-16,1
2015-03-04,1
2015-03-03,1
2015-02-24,1
2015-02-23,2
2014-12-18,1
2014-12-11,2
2014-11-18,1
2014-10-09,1
2014-08-15,1
2014-06-17,1
2014-06-16,1
2014-06-12,1
2014-05-05,5
2014-04-14,1
2014-04-01,1
2014-03-03,1
2014-02-24,1
2014-02-18,1
2014-01-28,1
2014-01-27,1
2014-01-24,1
2014-01-21,1
2014-01-09,1
2013-12-31,2
2013-10-29,1
2013-10-03,1
2013-09-16,1
2013-08-22,1
2013-08-15,1
2013-07-22,1
2013-07-19,1
2013-07-15,1
2013-04-15,2
2013-02-22,1
2013-02-04,1
2013-01-28,1
2013-01-14,1
2012-02-21,1
2011-08-30,1
2011-04-12,1
2010-12-08,12
2010-11-04,1
2010-08-20,1
2010-07-08,1
2010-04-22,1
2010-01-22,1
2009-08-03,1
2009-07-07,1
2009-07-01,1
2009-06-12,1
2009-04-16,1
2009-03-30,1
2009-03-16,2
2009-02-26,1
2009-02-19,1
2009-02-17,1
2009-02-06,1
2009-01-21,4
2008-12-15,1
2008-12-02,1
2008-09-23,1
2008-08-22,1
2008-08-11,4
2008-07-28,4
2008-04-28,1
2008-04-18,1
2008-03-25,1
2008-03-17,2
2008-03-03,1
2008-02-12,1
2008-01-28,1
2007-12-31,1
2007-12-11,1
2007-11-19,1
2007-10-22,1
2007-09-20,1
2007-09-14,1
2007-08-31,1
2007-08-27,2
2007-08-06,1
2007-07-05,1
2007-06-19,1
2007-06-13,1
2007-06-05,1
2007-03-30,1
2007-03-08,1
2007-02-23,1
2007-02-22,1
2007-02-01,1
2007-01-19,1
2007-01-10,3
2006-12-20,2
2006-11-08,1
2006-11-02,1
2006-10-27,1
2006-10-25,1
2006-09-11,1
2006-09-07,1
2006-06-15,1
2006-06-08,2
2006-05-16,1
2006-05-12,1
2006-05-09,1
2006-04-24,1
2006-04-18,1
2006-03-28,1
2006-03-27,1
2006-02-14,1
2006-01-03,1
1970-01-01,1
