date,Mold,Gas,Heat,Pests,Scalding_Water,Lead,Bedbugs
2013-12-31,2,1,6,3,1,2,1
2014-01-15,1,0,4,4,0,5,0
2014-01-31,4,0,1,0,4,0,0
2014-02-15,2,1,2,0,0,3,0
2014-02-28,0,2,14,2,11,1,0
2014-03-15,1,0,0,2,0,3,1
2014-03-31,0,0,2,0,0,3,0
2014-04-15,3,1,0,1,0,11,0
2014-04-30,4,0,0,1,0,7,0
2014-05-15,0,0,0,0,0,0,0
2014-05-31,0,0,0,0,0,0,0
2014-06-15,1,1,0,5,0,13,2
2014-06-30,1,0,0,2,0,1,0
2014-07-15,3,1,0,5,0,0,0
2014-07-31,0,1,0,0,0,1,0
2014-08-15,0,0,0,1,0,0,1
2014-08-31,1,1,1,3,0,0,0
2014-09-15,2,2,0,1,0,0,0
2014-09-30,1,2,1,3,0,0,2
2014-10-15,0,0,0,1,0,0,0
2014-10-31,1,1,3,1,1,0,0
2014-11-15,1,2,0,4,0,1,0
2014-11-30,0,0,0,0,0,1,0
2014-12-15,0,0,0,0,0,0,0
2014-12-31,1,1,0,5,0,0,1
2015-01-15,0,3,5,0,0,0,0
2015-01-31,0,0,2,1,0,1,0
2015-02-15,1,1,0,0,1,0,0
2015-02-28,2,5,0,2,0,7,0
2015-03-15,2,4,1,5,0,4,0
2015-03-31,2,1,2,2,0,0,0
2015-04-15,1,1,0,7,1,1,0
2015-04-30,5,0,0,1,0,1,0
2015-05-15,2,4,0,5,0,0,0
2015-05-31,2,4,0,2,0,3,0
2015-06-15,0,0,0,4,0,0,1
2015-06-30,2,1,0,2,0,1,1
2015-07-15,2,3,0,3,0,3,0
2015-07-31,2,4,0,1,0,0,0
2015-08-15,5,3,0,4,0,13,0
2015-08-31,3,1,0,1,0,5,0
2015-09-15,5,0,0,3,0,0,1
2015-09-30,2,1,0,10,0,0,0
2015-10-15,4,2,2,0,0,0,0
2015-10-31,0,0,0,3,0,2,0
2015-11-15,3,3,0,6,1,0,1
2015-11-30,2,1,0,1,0,1,0
2015-12-15,1,1,0,0,0,0,0
2015-12-31,8,2,14,7,0,16,0
2016-01-15,5,0,8,1,2,1,0
2016-01-31,1,2,1,4,0,0,0
2016-02-15,0,2,2,3,0,0,0
2016-02-29,1,0,0,3,0,0,0
2016-03-15,0,0,3,1,0,0,0
2016-03-31,0,1,2,2,0,0,1
2016-04-15,0,0,0,0,0,0,0
2016-04-30,0,1,0,5,0,7,0
2016-05-15,1,0,0,3,0,1,0
2016-05-31,1,0,0,0,0,2,0
2016-06-15,0,0,0,0,0,0,0
2016-06-30,0,1,0,0,0,0,0
2016-07-15,2,0,1,2,0,0,1
2016-07-31,1,0,1,1,0,0,0
2016-08-15,1,2,0,3,0,1,0
2016-08-31,0,1,0,2,0,0,1
2016-09-15,0,0,0,0,0,0,0
2016-09-30,0,2,0,2,0,0,0
2016-10-15,1,1,1,7,0,1,2
2016-10-31,0,0,1,2,0,0,0
2016-11-15,1,2,8,1,0,0,1
2016-11-30,0,4,1,2,0,0,0
2016-12-15,0,1,0,0,0,0,0
2016-12-31,0,0,3,0,0,0,0
2017-01-15,0,11,8,3,1,3,0
2017-01-31,1,0,0,0,0,0,0
2017-02-15,1,0,1,0,0,0,0
2017-02-28,1,1,1,0,0,0,0
2017-03-15,1,1,5,1,0,0,0
2017-03-31,2,0,0,0,0,1,0
2017-04-15,2,0,1,0,1,2,0
2017-04-30,4,1,4,3,0,1,1
2017-05-15,1,2,5,1,0,8,0
2017-05-31,6,11,9,9,0,2,2
2017-06-15,4,14,1,3,0,5,0
2017-06-30,4,3,0,11,0,4,0
2017-07-15,4,3,1,7,0,0,0
2017-07-31,3,3,5,5,0,3,0
2017-08-15,1,2,0,2,0,3,0
2017-08-31,1,6,3,2,0,1,0
2017-09-15,0,0,1,1,0,6,0
2017-09-30,1,0,1,4,0,3,0
2017-10-15,2,1,1,3,0,0,0
2017-10-31,1,1,13,2,0,0,0
2017-11-15,1,3,6,3,0,0,1
2017-11-30,3,1,1,7,0,2,0
2017-12-15,1,3,10,1,0,0,0
2017-12-31,0,0,8,6,0,6,1
2018-01-15,1,2,8,13,1,1,0
2018-01-31,2,2,5,10,0,1,1
2018-02-15,3,2,1,5,0,11,0
2018-02-28,0,1,7,1,0,2,0
2018-03-15,1,3,4,3,0,0,0
2018-03-31,1,1,2,2,0,3,0
2018-04-15,0,0,0,8,0,0,2
2018-04-30,2,1,0,7,0,4,2
2018-05-15,6,1,0,2,1,5,1
2018-05-31,0,3,1,1,0,1,0
