receiveddate,East_Harlem_Count,Emerald_Equity_Count
2013-12-31,1.0,
2014-01-15,3.0,
2014-01-31,2.0,
2014-02-15,,
2014-02-28,,
2014-03-15,,
2014-03-31,,
2014-04-15,2.0,
2014-04-30,2.0,
2014-05-15,2.0,
2014-05-31,18.0,2.0
2014-06-15,74.0,11.0
2014-06-30,105.0,12.0
2014-07-15,112.0,14.0
2014-07-31,89.0,13.0
2014-08-15,79.0,8.0
2014-08-31,127.0,11.0
2014-09-15,111.0,9.0
2014-09-30,166.0,9.0
2014-10-15,320.0,48.0
2014-10-31,358.0,17.0
2014-11-15,418.0,54.0
2014-11-30,317.0,36.0
2014-12-15,317.0,12.0
2014-12-31,556.0,36.0
2015-01-15,514.0,51.0
2015-01-31,454.0,42.0
2015-02-15,738.0,44.0
2015-02-28,359.0,25.0
2015-03-15,268.0,21.0
2015-03-31,221.0,22.0
2015-04-15,204.0,37.0
2015-04-30,143.0,20.0
2015-05-15,137.0,16.0
2015-05-31,122.0,12.0
2015-06-15,179.0,10.0
2015-06-30,178.0,21.0
2015-07-15,133.0,11.0
2015-07-31,157.0,20.0
2015-08-15,242.0,24.0
2015-08-31,209.0,24.0
2015-09-15,162.0,17.0
2015-09-30,281.0,31.0
2015-10-15,453.0,30.0
2015-10-31,284.0,22.0
2015-11-15,337.0,31.0
2015-11-30,331.0,24.0
2015-12-15,312.0,24.0
2015-12-31,55.0,2.0
2016-01-15,146.0,7.0
2016-01-31,474.0,49.0
2016-02-15,287.0,24.0
2016-02-29,206.0,34.0
2016-03-15,263.0,30.0
2016-03-31,213.0,15.0
2016-04-15,154.0,24.0
2016-04-30,142.0,20.0
2016-05-15,106.0,5.0
2016-05-31,116.0,12.0
2016-06-15,114.0,5.0
2016-06-30,154.0,11.0
2016-07-15,152.0,13.0
2016-07-31,137.0,14.0
2016-08-15,152.0,14.0
2016-08-31,115.0,7.0
2016-09-15,139.0,6.0
2016-09-30,175.0,20.0
2016-10-15,351.0,42.0
2016-10-31,213.0,37.0
2016-11-15,316.0,76.0
2016-11-30,406.0,68.0
2016-12-15,403.0,39.0
2016-12-31,419.0,47.0
2017-01-15,299.0,40.0
2017-01-31,337.0,39.0
2017-02-15,234.0,49.0
2017-02-28,318.0,30.0
2017-03-15,327.0,20.0
2017-03-31,200.0,9.0
2017-04-15,178.0,22.0
2017-04-30,184.0,19.0
2017-05-15,219.0,39.0
2017-05-31,239.0,19.0
2017-06-15,132.0,34.0
2017-06-30,154.0,31.0
2017-07-15,144.0,29.0
2017-07-31,140.0,19.0
2017-08-15,131.0,18.0
2017-08-31,187.0,16.0
2017-09-15,132.0,16.0
2017-09-30,131.0,28.0
2017-10-15,251.0,42.0
2017-10-31,505.0,224.0
2017-11-15,276.0,59.0
2017-11-30,391.0,46.0
2017-12-15,616.0,85.0
2017-12-31,942.0,120.0
2018-01-15,360.0,54.0
2018-01-31,283.0,40.0
2018-02-15,141.0,16.0
2018-02-28,258.0,44.0
2018-03-15,263.0,25.0
2018-03-31,177.0,31.0
2018-04-15,273.0,25.0
2018-04-30,203.0,35.0
2018-05-15,136.0,16.0
2018-05-31,13.0,2.0
