inspectiondate,summed_x,summed_y
2013-04-24,1.0,1.0
2013-04-26,1.0,4.0
2013-06-03,1.0,5.0
2013-06-27,2.0,1.0
2013-07-12,3.0,11.0
2013-07-14,4.0,11.0
2013-07-15,1.0,7.0
2013-09-03,3.0,4.0
2013-11-04,1.0,1.0
2013-11-07,1.0,3.0
2014-01-10,1.0,3.0
2014-02-27,1.0,2.0
2014-03-04,1.0,5.0
2014-03-12,2.0,28.0
2014-04-24,1.0,5.0
2014-06-24,1.0,3.0
2014-09-02,1.0,7.0
2014-09-23,1.0,4.0
2014-10-21,1.0,1.0
2015-04-28,1.0,6.0
2015-07-06,1.0,4.0
2015-12-15,1.0,4.0
2016-04-06,2.0,3.0
2016-04-29,1.0,4.0
2016-07-19,1.0,2.0
2017-03-24,1.0,3.0
2017-03-31,1.0,2.0
2017-05-08,1.0,5.0
2017-05-19,10.0,13.0
2017-05-31,1.0,4.0
2017-06-05,1.0,1.0
2017-06-13,1.0,4.0
2017-07-18,1.0,5.0
2017-07-21,2.0,3.0
2017-08-01,1.0,8.0
2017-08-02,1.0,11.0
2017-08-23,1.0,6.0
2017-09-06,4.0,8.0
2017-09-27,1.0,2.0
2017-09-28,1.0,6.0
2017-09-29,1.0,10.0
2017-10-04,2.0,5.0
2017-10-11,2.0,4.0
2017-10-13,1.0,5.0
2017-10-20,1.0,3.0
2017-11-21,2.0,4.0
2017-12-18,1.0,3.0
2017-12-21,1.0,2.0
2018-02-21,2.0,3.0
2018-02-28,1.0,3.0
